player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Rob Blake (D),Colorado Avalanche,81,14,37,51,0.63,94,2,https://www.eliteprospects.com/player/8580/rob-blake,2005-06,nhl,Rob Blake,D,DEF,0,0.0,0
Marek Svatos (RW),Colorado Avalanche,61,32,18,50,0.82,60,0,https://www.eliteprospects.com/player/8604/marek-svatos,2005-06,nhl,Marek Svatos,RW,FW,0,0.0,0
Peter Schaefer (LW),Ottawa Senators,82,20,30,50,0.61,40,16,https://www.eliteprospects.com/player/8757/peter-schaefer,2005-06,nhl,Peter Schaefer,LW,FW,Peter Schaefer,1.0,1
Kimmo Timonen (D),Nashville Predators,79,11,39,50,0.63,74,-3,https://www.eliteprospects.com/player/2664/kimmo-timonen,2005-06,nhl,Kimmo Timonen,D,DEF,0,0.0,0
Wade Redden (D),Ottawa Senators,65,10,40,50,0.77,63,35,https://www.eliteprospects.com/player/8931/wade-redden,2005-06,nhl,Wade Redden,D,DEF,0,0.0,0
Mark Parrish (RW),totals,76,29,20,49,0.64,20,-23,https://www.eliteprospects.com/player/8905/mark-parrish,2005-06,nhl,Mark Parrish,RW,FW,0,0.0,0
Matt Cullen (C),Carolina Hurricanes,78,25,24,49,0.63,40,4,https://www.eliteprospects.com/player/8754/matt-cullen,2005-06,nhl,Matt Cullen,C,FW,0,0.0,0
Martin Erat (RW/LW),Nashville Predators,80,20,29,49,0.61,76,0,https://www.eliteprospects.com/player/8611/martin-erat,2005-06,nhl,Martin Erat,RW/LW,FW,0,0.0,0
Dion Phaneuf (D),Calgary Flames,82,20,29,49,0.60,93,5,https://www.eliteprospects.com/player/8564/dion-phaneuf,2005-06,nhl,Dion Phaneuf,D,DEF,0,0.0,0
Scott Young (RW),St. Louis Blues,79,18,31,49,0.62,52,-32,https://www.eliteprospects.com/player/8797/scott-young,2005-06,nhl,Scott Young,RW,FW,0,0.0,0
John-Michael Liles (D),Colorado Avalanche,82,14,35,49,0.60,44,5,https://www.eliteprospects.com/player/8734/john-michael-liles,2005-06,nhl,John-Michael Liles,D,DEF,0,0.0,0
Marek Zidlicky (D),Nashville Predators,67,12,37,49,0.73,82,8,https://www.eliteprospects.com/player/3633/marek-zidlicky,2005-06,nhl,Marek Zidlicky,D,DEF,0,0.0,0
Brian Rafalski (D),New Jersey Devils,82,6,43,49,0.60,36,0,https://www.eliteprospects.com/player/1635/brian-rafalski,2005-06,nhl,Brian Rafalski,D,DEF,0,0.0,0
Thomas Vanek (LW/RW),Buffalo Sabres,81,25,23,48,0.59,72,-11,https://www.eliteprospects.com/player/8493/thomas-vanek,2005-06,nhl,Thomas Vanek,LW/RW,FW,0,0.0,0
Scott Hartnell (LW),Nashville Predators,81,25,23,48,0.59,101,8,https://www.eliteprospects.com/player/8764/scott-hartnell,2005-06,nhl,Scott Hartnell,LW,FW,0,0.0,0
Mark Bell (C/LW),Chicago Blackhawks,82,25,23,48,0.59,107,-14,https://www.eliteprospects.com/player/8765/mark-bell,2005-06,nhl,Mark Bell,C/LW,FW,0,0.0,0
